unavail_id,nurse_id,unavail_type,start_date,end_date,start_time,end_time,is_recurring,recurrence_pattern,status,approved_by,reason,created_at,updated_at
2ad880ab-8608-489a-abdf-9e129e9536c7,N0027,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 6, ""frequency"": ""WEEKLY""}",APPROVED,HN_1,Regular family commitment,2026-01-14 02:44:54.158372,2026-01-14 02:44:54.158373
4a510b84-38ac-477b-ade2-12c144cfc1fe,N0029,ANNUAL_LEAVE,2025-02-02,2025-02-06,,,False,,APPROVED,HN_3,Annual Leave request,2026-01-14 02:44:54.158544,2026-01-14 02:44:54.158545
25366707-2e97-440d-9b38-92014453c8e1,N0029,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 0, ""frequency"": ""WEEKLY""}",APPROVED,HN_3,Regular family commitment,2026-01-14 02:44:54.158578,2026-01-14 02:44:54.158579
4873c6ea-1a3f-4dd5-9406-a464f54985b0,N0032,SICK_LEAVE,2025-01-27,2025-01-29,,,False,,APPROVED,HN_3,Sick Leave request,2026-01-14 02:44:54.158779,2026-01-14 02:44:54.158780
1f47d3a0-9b13-4720-9404-980a5ba49a53,N0032,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 6, ""frequency"": ""WEEKLY""}",APPROVED,HN_1,Regular family commitment,2026-01-14 02:44:54.158813,2026-01-14 02:44:54.158814
fb5df07d-4e9a-4bcd-8513-a65d09d702ab,N0034,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 6, ""frequency"": ""WEEKLY""}",APPROVED,HN_1,Regular family commitment,2026-01-14 02:44:54.158951,2026-01-14 02:44:54.158952
251ff16f-ec5f-4af1-bf67-2f571a5e5a8a,N0035,MATERNITY,2025-01-26,2025-02-17,,,False,,APPROVED,HN_3,Maternity request,2026-01-14 02:44:54.159099,2026-01-14 02:44:54.159100
73737eb9-cd49-4bd1-8c42-f2066185197b,N0036,TRAINING,2025-02-11,2025-02-14,,,False,,PENDING,HN_3,Training request,2026-01-14 02:44:54.159239,2026-01-14 02:44:54.159240
aefa69a2-5ef6-4ad4-aaf8-439d6dd6515e,N0038,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 0, ""frequency"": ""WEEKLY""}",APPROVED,HN_2,Regular family commitment,2026-01-14 02:44:54.159372,2026-01-14 02:44:54.159373
0a6c0a81-c16a-41db-b871-4bf9c696b12b,N0040,TRAINING,2025-02-12,2025-02-15,,,False,,APPROVED,HN_5,Training request,2026-01-14 02:44:54.159576,2026-01-14 02:44:54.159577
f5383dbd-fa7e-46ac-b172-817393b577bb,N0040,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 6, ""frequency"": ""WEEKLY""}",APPROVED,HN_2,Regular family commitment,2026-01-14 02:44:54.159614,2026-01-14 02:44:54.159615
cd2a7f58-be96-454f-98d6-f3c77c8739f5,N0041,ANNUAL_LEAVE,2025-01-22,2025-01-24,,,False,,APPROVED,HN_1,Annual Leave request,2026-01-14 02:44:54.159753,2026-01-14 02:44:54.159753
7f101b54-ffb5-4072-b165-bdeb404a60b1,N0041,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 6, ""frequency"": ""WEEKLY""}",APPROVED,HN_4,Regular family commitment,2026-01-14 02:44:54.159791,2026-01-14 02:44:54.159792
cd7f2375-7cb4-4652-9cac-a824d08e8113,N0042,PERSONAL,2025-02-09,2025-02-10,,,False,,APPROVED,HN_1,Personal request,2026-01-14 02:44:54.159937,2026-01-14 02:44:54.159938
028cb7c2-eef9-4cf5-9020-2bcec53e8e6c,N0042,SICK_LEAVE,2025-02-11,2025-02-12,,,False,,APPROVED,,Sick Leave request,2026-01-14 02:44:54.160018,2026-01-14 02:44:54.160019
8afcf890-0f37-4d8b-97f2-a9b57e3fd2ae,N0043,SICK_LEAVE,2025-02-05,2025-02-08,,,False,,PENDING,HN_1,Sick Leave request,2026-01-14 02:44:54.160152,2026-01-14 02:44:54.160152
2b0d3c34-1a35-4c63-b538-d6dba950ab1d,N0043,PERSONAL,2025-02-11,2025-02-12,,,False,,APPROVED,HN_4,Personal request,2026-01-14 02:44:54.160214,2026-01-14 02:44:54.160215
3f058a70-de78-4bc3-a3cb-0db12435aa93,N0044,PERSONAL,2025-01-20,2025-01-22,,,False,,APPROVED,,Personal request,2026-01-14 02:44:54.160335,2026-01-14 02:44:54.160336
ee350725-7e8b-447b-9ef1-7d4f11dfb576,N0045,ANNUAL_LEAVE,2025-01-30,2025-02-05,,,False,,APPROVED,,Annual Leave request,2026-01-14 02:44:54.160453,2026-01-14 02:44:54.160454
e3f7befe-7668-4dcf-8fd0-9a451763b9ee,N0046,ANNUAL_LEAVE,2025-01-31,2025-02-05,,,False,,APPROVED,HN_3,Annual Leave request,2026-01-14 02:44:54.160605,2026-01-14 02:44:54.160606
1d6fbc76-c5cf-4b9e-aae5-af722806f563,N0047,TRAINING,2025-01-21,2025-01-23,,,False,,APPROVED,HN_5,Training request,2026-01-14 02:44:54.160734,2026-01-14 02:44:54.160734
b108bfe3-195b-4bc2-a6c1-6ec1ea1d8d96,N0047,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 6, ""frequency"": ""WEEKLY""}",APPROVED,HN_3,Regular family commitment,2026-01-14 02:44:54.160771,2026-01-14 02:44:54.160771
6dd40d9a-a372-4f39-af1f-78e0eb2389b3,N0049,ANNUAL_LEAVE,2025-01-28,2025-02-02,,,False,,APPROVED,,Annual Leave request,2026-01-14 02:44:54.160953,2026-01-14 02:44:54.160954
3e87473f-62ca-43ec-8936-9469c86826da,N0056,ANNUAL_LEAVE,2025-02-11,2025-02-12,,,False,,APPROVED,HN_1,Annual Leave request,2026-01-14 02:44:54.161299,2026-01-14 02:44:54.161300
d94f0d2a-e2e2-4d10-b72b-3cc791f952f5,N0057,SICK_LEAVE,2025-01-21,2025-01-24,,,False,,APPROVED,HN_3,Sick Leave request,2026-01-14 02:44:54.161421,2026-01-14 02:44:54.161421
2353833e-41f6-416c-8f45-c6dd5e8b3b2b,N0058,TRAINING,2025-01-25,2025-01-28,,,False,,PENDING,HN_1,Training request,2026-01-14 02:44:54.161558,2026-01-14 02:44:54.161559
bbdf92fc-3fde-4d55-90fa-7710dd8b6c4e,N0059,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 0, ""frequency"": ""WEEKLY""}",APPROVED,HN_4,Regular family commitment,2026-01-14 02:44:54.161675,2026-01-14 02:44:54.161676
527a57cb-bf69-44aa-bc07-9e3ff369fa4d,N0064,TRAINING,2025-01-22,2025-01-25,,,False,,APPROVED,HN_5,Training request,2026-01-14 02:44:54.161980,2026-01-14 02:44:54.161981
928a0603-8bf5-4edc-ab4b-664109b5fc7e,N0064,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 0, ""frequency"": ""WEEKLY""}",APPROVED,HN_2,Regular family commitment,2026-01-14 02:44:54.162026,2026-01-14 02:44:54.162027
4aaaddbc-5676-42c5-bc0a-eacbae61c1bf,N0066,ANNUAL_LEAVE,2025-02-11,2025-02-13,,,False,,APPROVED,HN_3,Annual Leave request,2026-01-14 02:44:54.162204,2026-01-14 02:44:54.162205
b39e7a40-42db-4f6b-a968-e7b5a7fa8920,N0067,ANNUAL_LEAVE,2025-01-30,2025-02-03,,,False,,APPROVED,HN_2,Annual Leave request,2026-01-14 02:44:54.162327,2026-01-14 02:44:54.162328
4c01881d-89fa-464b-8d5b-01a95ecda696,N0069,SICK_LEAVE,2025-02-05,2025-02-06,,,False,,APPROVED,,Sick Leave request,2026-01-14 02:44:54.162504,2026-01-14 02:44:54.162505
b4bbb963-d017-4c55-89c3-b27a9602a6b0,N0069,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 6, ""frequency"": ""WEEKLY""}",APPROVED,HN_2,Regular family commitment,2026-01-14 02:44:54.162541,2026-01-14 02:44:54.162542
ee623dcf-3eb0-4a85-a72f-7aeb46d0e3d3,N0070,TRAINING,2025-02-05,2025-02-06,,,False,,PENDING,HN_5,Training request,2026-01-14 02:44:54.162683,2026-01-14 02:44:54.162684
82afed9a-df9d-4db8-b877-735c1e8a9c1d,N0071,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 6, ""frequency"": ""WEEKLY""}",APPROVED,HN_2,Regular family commitment,2026-01-14 02:44:54.162791,2026-01-14 02:44:54.162792
82e5f8da-8035-4692-956c-841dd89b6132,N0073,SICK_LEAVE,2025-02-07,2025-02-09,,,False,,APPROVED,HN_4,Sick Leave request,2026-01-14 02:44:54.162992,2026-01-14 02:44:54.162993
eea6425a-89eb-49d6-b1e0-a5b1f1e06e33,N0075,ANNUAL_LEAVE,2025-01-25,2025-01-27,,,False,,PENDING,HN_1,Annual Leave request,2026-01-14 02:44:54.163208,2026-01-14 02:44:54.163209
8c5637c0-7f86-4f7a-b250-c483fc1eabc8,N0077,PERSONAL,2025-02-06,2025-02-08,,,False,,APPROVED,HN_3,Personal request,2026-01-14 02:44:54.163425,2026-01-14 02:44:54.163426
6d16c32f-b39f-4995-b804-7af00acfbfb4,N0078,SICK_LEAVE,2025-01-29,2025-02-01,,,False,,APPROVED,HN_4,Sick Leave request,2026-01-14 02:44:54.163587,2026-01-14 02:44:54.163588
19e99938-6a27-4009-bd82-2842d83d255e,N0080,ANNUAL_LEAVE,2025-02-15,2025-02-17,,,False,,APPROVED,,Annual Leave request,2026-01-14 02:44:54.163760,2026-01-14 02:44:54.163761
3974a528-455f-4490-93c9-7ef74690e909,N0083,ANNUAL_LEAVE,2025-01-25,2025-01-26,,,False,,PENDING,HN_2,Annual Leave request,2026-01-14 02:44:54.163960,2026-01-14 02:44:54.163961
41dce55d-1fe1-4e7e-9432-91e0ca92991d,N0084,SICK_LEAVE,2025-01-24,2025-01-26,,,False,,APPROVED,HN_3,Sick Leave request,2026-01-14 02:44:54.164081,2026-01-14 02:44:54.164082
34054474-da9e-45ff-a7ac-7da71902d559,N0084,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 6, ""frequency"": ""WEEKLY""}",APPROVED,HN_1,Regular family commitment,2026-01-14 02:44:54.164117,2026-01-14 02:44:54.164118
d25f79d8-6e38-418b-8b3c-f353d9dfe7e7,N0088,TRAINING,2025-01-23,2025-01-25,,,False,,PENDING,,Training request,2026-01-14 02:44:54.164341,2026-01-14 02:44:54.164342
6a538a9a-400f-4321-a15c-7cf28929de61,N0088,MATERNITY,2025-02-12,2025-02-17,,,False,,APPROVED,HN_1,Maternity request,2026-01-14 02:44:54.164406,2026-01-14 02:44:54.164407
b8835e52-e1f4-426e-9fcf-da30fe36f545,N0089,ANNUAL_LEAVE,2025-02-09,2025-02-16,,,False,,APPROVED,HN_3,Annual Leave request,2026-01-14 02:44:54.164523,2026-01-14 02:44:54.164524
cca7fe9f-55a7-4541-bd92-f0aa603f35cc,N0091,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 6, ""frequency"": ""WEEKLY""}",APPROVED,HN_2,Regular family commitment,2026-01-14 02:44:54.164643,2026-01-14 02:44:54.164643
b6f216d0-8927-4694-bb6e-f86b9897380c,N0093,ANNUAL_LEAVE,2025-01-21,2025-01-28,,,False,,APPROVED,,Annual Leave request,2026-01-14 02:44:54.164800,2026-01-14 02:44:54.164801
d31ddd16-9527-4ec8-b397-1aa922655a8e,N0094,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 0, ""frequency"": ""WEEKLY""}",APPROVED,HN_4,Regular family commitment,2026-01-14 02:44:54.164886,2026-01-14 02:44:54.164886
40f6d11d-e0d6-4d7f-8383-9c7062f808aa,N0095,SICK_LEAVE,2025-01-25,2025-01-27,,,False,,APPROVED,,Sick Leave request,2026-01-14 02:44:54.165013,2026-01-14 02:44:54.165014
736b6aed-71b9-47ca-9205-2c48f253a46f,N0098,ANNUAL_LEAVE,2025-01-30,2025-01-31,,,False,,APPROVED,,Annual Leave request,2026-01-14 02:44:54.165206,2026-01-14 02:44:54.165207
bcc3718a-6bd3-43e1-be64-3cb0a1ce5471,N0100,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 0, ""frequency"": ""WEEKLY""}",APPROVED,HN_5,Regular family commitment,2026-01-14 02:44:54.165328,2026-01-14 02:44:54.165328
35e7c345-4012-4164-a548-bafce7bb8d43,N0104,ANNUAL_LEAVE,2025-01-26,2025-02-01,,,False,,APPROVED,HN_5,Annual Leave request,2026-01-14 02:44:54.165597,2026-01-14 02:44:54.165598
b9f8f2e9-a13e-4fc8-92b3-98fb70568a4f,N0104,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 0, ""frequency"": ""WEEKLY""}",APPROVED,HN_3,Regular family commitment,2026-01-14 02:44:54.165640,2026-01-14 02:44:54.165640
227ef259-d62f-4919-91ac-1f84556af85b,N0109,ANNUAL_LEAVE,2025-01-31,2025-02-06,,,False,,APPROVED,HN_3,Annual Leave request,2026-01-14 02:44:54.165934,2026-01-14 02:44:54.165935
9a48cd16-4938-4d4a-8efc-72566c99e616,N0111,ANNUAL_LEAVE,2025-02-15,2025-02-17,,,False,,APPROVED,HN_5,Annual Leave request,2026-01-14 02:44:54.166103,2026-01-14 02:44:54.166104
c6d6318a-bf71-45d7-a3b5-234336373ce0,N0112,SICK_LEAVE,2025-02-11,2025-02-13,,,False,,APPROVED,HN_3,Sick Leave request,2026-01-14 02:44:54.166227,2026-01-14 02:44:54.166227
24c53f12-07a8-41c6-b644-9f3db8af217f,N0113,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 0, ""frequency"": ""WEEKLY""}",APPROVED,HN_5,Regular family commitment,2026-01-14 02:44:54.166311,2026-01-14 02:44:54.166312
0736fff9-7404-43d8-bb09-0659aa3f5454,N0114,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 6, ""frequency"": ""WEEKLY""}",APPROVED,HN_5,Regular family commitment,2026-01-14 02:44:54.166385,2026-01-14 02:44:54.166386
20cc8570-fa0a-4f0e-86f4-f9ffe6aa6f5a,N0115,ANNUAL_LEAVE,2025-01-28,2025-02-04,,,False,,APPROVED,,Annual Leave request,2026-01-14 02:44:54.166502,2026-01-14 02:44:54.166503
1e192911-ffd9-4489-b77b-598c0213593f,N0117,RECURRING,2025-01-20,2025-02-17,,,True,"{""day_of_week"": 6, ""frequency"": ""WEEKLY""}",APPROVED,HN_2,Regular family commitment,2026-01-14 02:44:54.166630,2026-01-14 02:44:54.166631
b309831a-ca89-499f-b906-6e8c4f127392,N0119,PERSONAL,2025-01-23,2025-01-26,,,False,,APPROVED,HN_4,Personal request,2026-01-14 02:44:54.166790,2026-01-14 02:44:54.166791
7e2f7b9f-9169-4846-a604-344db8c0a592,N0119,SICK_LEAVE,2025-02-11,2025-02-14,,,False,,PENDING,HN_1,Sick Leave request,2026-01-14 02:44:54.166857,2026-01-14 02:44:54.166858
ef37b694-c467-46f4-b0a1-6700f4368eba,N0120,ANNUAL_LEAVE,2025-02-08,2025-02-09,,,False,,PENDING,HN_2,Annual Leave request,2026-01-14 02:44:54.166994,2026-01-14 02:44:54.166995
