request_id,nurse_id,request_type,request_date,preferred_shift,swap_with_nurse_id,priority,reason,status,created_at,updated_at
041feddc-9365-484a-bcc8-c5affa0fc708,N0031,REQUEST_OFF,2025-02-11,,,MEDIUM,Medical appointment,PENDING,2026-01-14 02:44:54.173166,2026-01-14 02:44:54.173167
c7558b90-20f6-4c97-85ac-45938b546295,N0034,SHIFT_PREFERENCE,2025-01-26,N,,MEDIUM,Religious observance,PENDING,2026-01-14 02:44:54.173424,2026-01-14 02:44:54.173425
8c2187cb-835c-4a48-b4ca-a3bc4a071dde,N0035,REQUEST_OFF,2025-02-09,,,LOW,Family event,PENDING,2026-01-14 02:44:54.173609,2026-01-14 02:44:54.173610
51026fec-7872-4378-a6ce-74f6210e7d7c,N0035,SWAP_REQUEST,2025-01-29,,N0054,LOW,Religious observance,PENDING,2026-01-14 02:44:54.173702,2026-01-14 02:44:54.173703
827ebc96-dc4d-4040-89cc-541d85e98c6f,N0036,REQUEST_ON,2025-01-23,N,,MEDIUM,Education,PENDING,2026-01-14 02:44:54.173854,2026-01-14 02:44:54.173855
08d4f779-e410-46b2-90b9-1055fa105420,N0036,REQUEST_OFF,2025-01-28,,,LOW,Education,PENDING,2026-01-14 02:44:54.173943,2026-01-14 02:44:54.173944
6561dcc5-156c-49a2-897a-dd1041069d54,N0037,REQUEST_OFF,2025-02-08,,,MEDIUM,Religious observance,APPROVED,2026-01-14 02:44:54.174089,2026-01-14 02:44:54.174090
962b832f-361a-4a71-842c-b0b57cde2d36,N0038,REQUEST_OFF,2025-01-24,,,MEDIUM,Childcare,PENDING,2026-01-14 02:44:54.174238,2026-01-14 02:44:54.174239
06cb0904-93a3-40b5-88e9-07edd68221aa,N0040,REQUEST_OFF,2025-02-15,,,LOW,Family event,PENDING,2026-01-14 02:44:54.174431,2026-01-14 02:44:54.174432
1a492dee-8ec4-4be5-b29e-1b8aec33e298,N0040,REQUEST_OFF,2025-02-05,,,HIGH,Religious observance,PENDING,2026-01-14 02:44:54.174497,2026-01-14 02:44:54.174498
69834466-dc89-4ddb-8970-11b8b815a0ba,N0044,REQUEST_ON,2025-02-08,D,,MEDIUM,Personal commitment,PENDING,2026-01-14 02:44:54.174801,2026-01-14 02:44:54.174802
ef26b1b9-e1e8-4651-8931-694c5899c48a,N0044,SHIFT_PREFERENCE,2025-01-23,D,,LOW,Childcare,PENDING,2026-01-14 02:44:54.174875,2026-01-14 02:44:54.174876
dea5d9b1-9e94-4ccb-aebe-12d1df3dcbfe,N0045,SHIFT_PREFERENCE,2025-01-26,N,,HIGH,Medical appointment,PENDING,2026-01-14 02:44:54.175033,2026-01-14 02:44:54.175034
7325540b-574e-4653-b385-4a8be186606e,N0046,REQUEST_ON,2025-02-13,E,,HIGH,,PENDING,2026-01-14 02:44:54.175174,2026-01-14 02:44:54.175175
5646640a-85e2-4f99-8134-556d499d67ba,N0046,SWAP_REQUEST,2025-02-05,,N0026,MEDIUM,Personal commitment,APPROVED,2026-01-14 02:44:54.175259,2026-01-14 02:44:54.175260
d93c4b5c-f076-4bc1-a47a-a6413b424dd3,N0047,REQUEST_OFF,2025-02-11,,,MEDIUM,Childcare,PENDING,2026-01-14 02:44:54.175401,2026-01-14 02:44:54.175402
709b81f3-dd51-4bdf-b3c9-c280829609fb,N0048,SWAP_REQUEST,2025-01-29,,N0021,LOW,Family event,APPROVED,2026-01-14 02:44:54.175542,2026-01-14 02:44:54.175542
1755fae5-858d-4826-b58e-b0731518b86a,N0048,REQUEST_OFF,2025-02-06,,,MEDIUM,Childcare,APPROVED,2026-01-14 02:44:54.175611,2026-01-14 02:44:54.175611
ea384d1b-8591-42f7-9144-c1cd9a64febd,N0048,REQUEST_ON,2025-01-26,N,,MEDIUM,Childcare,DENIED,2026-01-14 02:44:54.175676,2026-01-14 02:44:54.175676
2c02bc57-146e-468e-929b-80d0b5c39b96,N0050,REQUEST_OFF,2025-01-30,,,LOW,Medical appointment,PENDING,2026-01-14 02:44:54.175883,2026-01-14 02:44:54.175884
ed81eb19-04f6-4ce3-91b4-b17df48a1c22,N0051,REQUEST_ON,2025-01-20,D,,MEDIUM,Religious observance,PENDING,2026-01-14 02:44:54.176032,2026-01-14 02:44:54.176032
1f184e6d-9da3-4360-966d-4a05b3b08105,N0056,SWAP_REQUEST,2025-01-22,,N0117,LOW,Family event,APPROVED,2026-01-14 02:44:54.176386,2026-01-14 02:44:54.176387
d8c86f53-2486-47e4-8dd8-4d682c36341f,N0057,REQUEST_OFF,2025-02-15,,,HIGH,Education,DENIED,2026-01-14 02:44:54.176525,2026-01-14 02:44:54.176526
24e9b396-420e-4f1a-b9aa-4d1969be4d89,N0060,SWAP_REQUEST,2025-02-10,,N0064,LOW,Medical appointment,APPROVED,2026-01-14 02:44:54.176782,2026-01-14 02:44:54.176783
d65bdb82-88d8-4732-afeb-4fb93b25403b,N0060,SHIFT_PREFERENCE,2025-01-22,N,,MEDIUM,Family event,APPROVED,2026-01-14 02:44:54.176856,2026-01-14 02:44:54.176856
8f22ecf4-464e-4332-97ee-47f215bebbed,N0061,REQUEST_ON,2025-02-12,N,,LOW,Family event,APPROVED,2026-01-14 02:44:54.177010,2026-01-14 02:44:54.177011
a259a3e5-cafa-444b-be95-42362cc73f8d,N0061,SHIFT_PREFERENCE,2025-01-28,N,,LOW,Medical appointment,PENDING,2026-01-14 02:44:54.177081,2026-01-14 02:44:54.177082
ec3a5528-582e-425e-bea6-03fc3794b74b,N0062,REQUEST_OFF,2025-02-03,,,MEDIUM,Personal commitment,APPROVED,2026-01-14 02:44:54.177222,2026-01-14 02:44:54.177222
9ca4d9a9-c95a-418e-b709-f4030ae65dde,N0063,REQUEST_OFF,2025-01-28,,,LOW,Childcare,PENDING,2026-01-14 02:44:54.177350,2026-01-14 02:44:54.177351
478bb375-a9f9-4840-a4d6-923df62fce75,N0066,REQUEST_ON,2025-01-21,D,,LOW,,PENDING,2026-01-14 02:44:54.177594,2026-01-14 02:44:54.177595
ba7bb5a0-a226-4056-969a-529c405cb858,N0069,REQUEST_OFF,2025-01-25,,,LOW,,APPROVED,2026-01-14 02:44:54.177844,2026-01-14 02:44:54.177845
62b6d4da-3557-4d7a-8b24-405349905652,N0071,REQUEST_OFF,2025-01-21,,,HIGH,,APPROVED,2026-01-14 02:44:54.178071,2026-01-14 02:44:54.178072
c022e204-3f16-44a9-aa72-f045b47f9b86,N0072,SWAP_REQUEST,2025-01-29,,N0047,LOW,,PENDING,2026-01-14 02:44:54.178236,2026-01-14 02:44:54.178236
49f6cb40-2ce6-4fa8-b6b4-2ca777388e84,N0073,REQUEST_OFF,2025-02-10,,,MEDIUM,Personal commitment,PENDING,2026-01-14 02:44:54.178387,2026-01-14 02:44:54.178387
afa2006d-cb20-4a58-8aaa-3af7844e4edd,N0074,REQUEST_OFF,2025-02-02,,,LOW,Religious observance,APPROVED,2026-01-14 02:44:54.178536,2026-01-14 02:44:54.178536
dcb745b0-9a8c-4f2c-a2b7-6333a38451ed,N0075,REQUEST_OFF,2025-01-23,,,LOW,Family event,PENDING,2026-01-14 02:44:54.178682,2026-01-14 02:44:54.178683
28d5e6a3-b0a5-4078-9aac-03ca8c8d5eaf,N0076,REQUEST_ON,2025-02-16,D,,MEDIUM,Family event,PENDING,2026-01-14 02:44:54.178835,2026-01-14 02:44:54.178835
d5a822f6-2f6f-4a2e-bd9a-20147ed41584,N0077,REQUEST_OFF,2025-02-16,,,MEDIUM,Medical appointment,DENIED,2026-01-14 02:44:54.178987,2026-01-14 02:44:54.178987
5b3edd7e-d877-4f77-9283-f26079cee0b8,N0082,SHIFT_PREFERENCE,2025-02-10,N,,LOW,Medical appointment,PENDING,2026-01-14 02:44:54.179349,2026-01-14 02:44:54.179350
748332bc-4834-47a0-b4f5-3d82aa647635,N0084,REQUEST_OFF,2025-01-30,,,LOW,Personal commitment,DENIED,2026-01-14 02:44:54.179565,2026-01-14 02:44:54.179566
44a96223-1d46-4b27-b17d-e8c584fff97b,N0085,REQUEST_ON,2025-02-03,N,,MEDIUM,Personal commitment,APPROVED,2026-01-14 02:44:54.179718,2026-01-14 02:44:54.179719
8e50d56e-4288-4c13-9dee-1f2d53371932,N0090,SHIFT_PREFERENCE,2025-02-12,D,,LOW,Personal commitment,PENDING,2026-01-14 02:44:54.180083,2026-01-14 02:44:54.180084
1c24f45d-256e-4cd0-a048-75401ea5c5f0,N0090,REQUEST_ON,2025-02-15,E,,LOW,Medical appointment,APPROVED,2026-01-14 02:44:54.180163,2026-01-14 02:44:54.180163
eb059556-ab97-463d-b592-af28850ca63e,N0094,REQUEST_OFF,2025-01-23,,,MEDIUM,Childcare,PENDING,2026-01-14 02:44:54.180461,2026-01-14 02:44:54.180462
3876675e-5a7f-4b3b-8181-26907b66b57c,N0095,REQUEST_OFF,2025-02-01,,,LOW,Childcare,PENDING,2026-01-14 02:44:54.180605,2026-01-14 02:44:54.180606
b925eb0a-7796-4120-b86d-bb063115de7f,N0096,SHIFT_PREFERENCE,2025-01-28,E,,LOW,Religious observance,PENDING,2026-01-14 02:44:54.180749,2026-01-14 02:44:54.180750
976ffc09-e933-4e64-90fa-6f031b0ffa84,N0096,SHIFT_PREFERENCE,2025-02-16,E,,MEDIUM,,PENDING,2026-01-14 02:44:54.180830,2026-01-14 02:44:54.180831
7e8bee02-3900-4842-b9fd-bc2ab7ebdc72,N0097,REQUEST_ON,2025-02-02,N,,MEDIUM,,PENDING,2026-01-14 02:44:54.180984,2026-01-14 02:44:54.180984
0a3452f8-d03e-4280-bd3a-c7dd9b1a9ea5,N0097,REQUEST_ON,2025-01-25,D,,LOW,Medical appointment,APPROVED,2026-01-14 02:44:54.181055,2026-01-14 02:44:54.181056
1d311a5d-4483-41a9-b441-09afa93dc37c,N0101,SHIFT_PREFERENCE,2025-02-11,N,,LOW,Family event,PENDING,2026-01-14 02:44:54.181361,2026-01-14 02:44:54.181362
fcdbb023-5494-477e-86d7-09593d27b32d,N0102,REQUEST_OFF,2025-02-16,,,LOW,Medical appointment,PENDING,2026-01-14 02:44:54.181506,2026-01-14 02:44:54.181507
26cc176e-cbcb-460f-bb77-9434333b9698,N0102,REQUEST_OFF,2025-01-23,,,LOW,Childcare,PENDING,2026-01-14 02:44:54.181583,2026-01-14 02:44:54.181584
fb8b31ef-4658-4962-8314-f41c8d9ef20e,N0103,REQUEST_OFF,2025-02-07,,,LOW,Childcare,APPROVED,2026-01-14 02:44:54.181732,2026-01-14 02:44:54.181732
8c6d9709-40c5-48d0-8778-fe549d5beb73,N0105,REQUEST_OFF,2025-02-14,,,LOW,Education,APPROVED,2026-01-14 02:44:54.181943,2026-01-14 02:44:54.181944
7c5e8e97-12b5-441e-8aa7-b9674d0c32cb,N0105,REQUEST_OFF,2025-02-10,,,MEDIUM,Childcare,PENDING,2026-01-14 02:44:54.182016,2026-01-14 02:44:54.182017
01738904-db04-4662-b823-80badedd16cf,N0107,REQUEST_ON,2025-01-25,N,,LOW,Childcare,PENDING,2026-01-14 02:44:54.182219,2026-01-14 02:44:54.182219
1b89de39-99c2-4e85-9da2-b89b7795e942,N0108,REQUEST_ON,2025-02-13,E,,HIGH,Education,PENDING,2026-01-14 02:44:54.182354,2026-01-14 02:44:54.182355
c4cf546f-78a9-45de-b36d-4a2dfab3f86e,N0109,SHIFT_PREFERENCE,2025-01-20,N,,MEDIUM,,APPROVED,2026-01-14 02:44:54.182490,2026-01-14 02:44:54.182491
c620f15c-431f-48a3-ad1a-4c3d49cab5c3,N0109,REQUEST_OFF,2025-02-12,,,MEDIUM,Medical appointment,PENDING,2026-01-14 02:44:54.182564,2026-01-14 02:44:54.182565
6efc2bd7-83c6-465e-a9f1-e2ae979cb874,N0111,REQUEST_OFF,2025-02-04,,,LOW,Childcare,PENDING,2026-01-14 02:44:54.182761,2026-01-14 02:44:54.182762
f55c0c8b-56e5-41ed-b0d0-029af6369ecf,N0112,REQUEST_OFF,2025-01-23,,,MEDIUM,Childcare,APPROVED,2026-01-14 02:44:54.182899,2026-01-14 02:44:54.182900
d0176f21-7054-4bd4-bc47-ed05a327f696,N0112,SHIFT_PREFERENCE,2025-02-03,D,,MEDIUM,Family event,APPROVED,2026-01-14 02:44:54.182979,2026-01-14 02:44:54.182980
14181240-d3bf-4f69-ae15-afe525b76236,N0113,SHIFT_PREFERENCE,2025-01-28,N,,LOW,Personal commitment,PENDING,2026-01-14 02:44:54.183120,2026-01-14 02:44:54.183121
4d54a39d-109b-4ce5-a395-409f753430dd,N0113,REQUEST_OFF,2025-01-20,,,LOW,Religious observance,APPROVED,2026-01-14 02:44:54.183231,2026-01-14 02:44:54.183236
15201711-0ce5-4495-bcc7-0473f1a47991,N0113,SWAP_REQUEST,2025-02-16,,N0087,MEDIUM,Education,PENDING,2026-01-14 02:44:54.183332,2026-01-14 02:44:54.183332
f758e9c1-ae3e-4db1-9bcc-dda6811a758c,N0114,REQUEST_OFF,2025-02-13,,,MEDIUM,Religious observance,DENIED,2026-01-14 02:44:54.183483,2026-01-14 02:44:54.183483
90c40397-0bcc-4cda-91b9-eaaca67ad7fe,N0114,REQUEST_OFF,2025-02-07,,,LOW,Religious observance,APPROVED,2026-01-14 02:44:54.183549,2026-01-14 02:44:54.183550
d5af5587-eca3-4c62-9426-92977f809bb1,N0117,REQUEST_OFF,2025-02-07,,,MEDIUM,Medical appointment,PENDING,2026-01-14 02:44:54.183809,2026-01-14 02:44:54.183810
6a479f2e-0b18-45ac-ab08-377234f85e26,N0117,SHIFT_PREFERENCE,2025-02-10,E,,LOW,Education,DENIED,2026-01-14 02:44:54.183883,2026-01-14 02:44:54.183883
c72068c1-9838-4fc2-8fc9-2bb7fd5c4233,N0118,REQUEST_ON,2025-02-05,N,,MEDIUM,Religious observance,DENIED,2026-01-14 02:44:54.184040,2026-01-14 02:44:54.184040
